Date,Sales_Value,TV_Impressions,YouTube_Impressions,Facebook_Impressions,Instagram_Impressions,Trade_Spend,Feature_Flag,Display_Flag,TPR_Flag
2022-12-19,1415025.8342285156,49278106.609375,61887189.390625,12048045.87,13881504.02734375,667310.7875976562,0,0,0
2022-12-26,1716606.3936767578,48845643.5625,62027428.17578125,13382245.116,13887324.279296875,4565630.3203125,0,1,0
2023-01-02,1863343.6125488281,49976356.5,22443448.46875,36893608.506,8520853.845703125,4504949.05078125,0,1,0
2023-01-09,1656372.8878173828,51188524.5625,23676543.4375,37180448.35,8886998.2890625,1042857.158203125,0,0,0
2023-01-16,2062982.3541259766,49477754.9296875,23755218.078125,32013246.911000002,8241304.748046875,3797920.8984375,0,1,0
2023-01-23,2045810.8566894531,52364128.390625,23645530.234375,33699508.307000004,8362093.419921875,4837636.4765625,0,1,0
2023-01-30,1713184.6049804688,50047323.53125,22745615.6640625,32986455.92,8051189.33984375,1310777.7978515625,0,0,0
2023-02-06,2080349.4935302734,52106896.390625,23711833.203125,32524864.085,8208286.84765625,5621637.12890625,0,0,1
2023-02-13,1730720.2119140625,51473089.84375,24224407.96875,32562056.035,8203388.119140625,968429.9267578125,0,0,0
2023-02-20,1530717.8819580078,47422786.421875,23389027.34765625,35362433.461,8610743.205078125,809499.83203125,0,0,0
2023-02-27,1431921.390625,51213634.6640625,24658974.2734375,32340096.855,8273781.44921875,1012502.724609375,0,0,0
2023-03-06,1416540.6801757812,48318372.1875,59197925.51953125,14084943.779,13314711.17578125,936602.7275390625,0,0,0
2023-03-13,1489657.636352539,49394932.2109375,62378947.58203125,12096201.897,13889913.95703125,813324.375,0,0,0
2023-03-20,1423441.6142578125,53904675.7890625,63190434.1796875,12638718.938,14208799.83984375,1024069.482421875,0,0,0
2023-03-27,1546861.8076171875,51097733.3125,59907792.45703125,13027886.913,13517433.154296875,1269731.6806640625,0,0,0
2023-04-03,1645339.2142333984,52406086.96875,63389858.79296875,12383177.642,14096324.142578125,897405.8466796875,0,0,0
2023-04-10,1653929.3494873047,50975493.75,58906587.83203125,12711669.827,13312474.263671875,1067340.7177734375,0,0,0
2023-04-17,1735981.2003173828,51378287.4296875,64343336.41796875,10808095.536,14303243.30078125,691697.2412109375,0,0,0
2023-04-24,1777778.7960205078,51709279.75,64125027.03125,12161079.069,14163888.62109375,754552.93359375,0,0,0
2023-05-01,2045286.3464355469,49999588.75,59168557.30859375,13652085.168,13329402.802734375,6707515.078125,0,0,1
2023-05-08,1550896.2371826172,47672231.6015625,61643445.55859375,11306984.412,13658254.779296875,1209974.466796875,0,0,0
2023-05-15,1623598.9479980469,54093305.4375,62757512.03125,12280056.611,14020844.443359375,999389.1796875,0,0,0
2023-05-22,1730833.90234375,53061473.25,65167553.046875,12596350.244,14468667.830078125,874611.140625,0,0,0
2023-05-29,2026731.3010253906,50225194.75,60535789.6640625,12444672.52,13552783.31640625,4664883.69140625,0,1,0
2023-06-05,1887826.2624511719,50100342.7421875,22752273.3828125,12105000.992,5760954.767578125,5702355.45703125,0,0,1
2023-06-12,1804163.0158691406,50583452.046875,21546506.67578125,13618295.694,5671130.9462890625,6756819.609375,0,0,1
2023-06-19,1529526.9475097656,49745636.6796875,24006598.984375,12669798.224,6068299.6328125,1097678.2060546875,0,0,0
2023-06-26,2251338.828979492,46129839.0546875,20254764.99609375,12112691.479,5262222.1474609375,6014689.20703125,0,0,1
2023-07-03,1704014.3311767578,49137737.109375,23812510.7109375,12693920.615,6031894.17578125,845316.9755859375,0,0,0
2023-07-10,1637181.5637207031,50929172.515625,23766512.1015625,11833450.325,5936647.4765625,982644.08203125,0,0,0
2023-07-17,2192985.230834961,50608760.2109375,20965333.0859375,12560962.671,5449162.853515625,5435188.8046875,1,0,0
2023-07-24,1650759.8474121094,48874621.15625,23253732.6328125,13033452.448,5954091.748046875,920688.890625,0,0,0
2023-07-31,1913680.4792480469,44918371.015625,22963953.5703125,11681554.549,5760946.138671875,1324850.150390625,0,0,0
2023-08-07,1720828.4614257812,48845687.984375,23394981.5390625,13955936.952,6074589.955078125,886933.177734375,0,0,0
2023-08-14,2026350.3269042969,48521170.171875,23801612.7109375,14859037.927000001,6246226.337890625,4531411.37109375,0,1,0
2023-08-21,1515668.4597167969,53389843.75,22963825.984375,12133621.242,5806127.32421875,812194.505859375,0,0,0
2023-08-28,1555987.0227050781,48595825.34375,23163545.8046875,11784150.720999999,5811124.294921875,1071900.263671875,0,0,0
2023-09-04,1733449.1000976562,123918782.9609375,23473367.4921875,34681018.64,8417790.58984375,899212.1220703125,0,0,0
2023-09-11,2131584.520263672,130658582.6875,22191279.875,37222154.654,8645674.9609375,4759227.0,1,0,0
2023-09-18,1893005.3736572266,115363510.8515625,21431439.21875,34839614.596,7936388.294921875,1179592.7783203125,0,0,0
2023-09-25,2356643.5267333984,123965820.921875,22503424.2265625,36568197.24,8393611.4140625,5780354.6953125,1,0,0
2023-10-02,2302677.325317383,128453992.96875,23904016.5078125,34511638.346,8542713.70703125,820987.03125,0,0,0
2023-10-09,2150642.3770751953,120244249.6171875,25424132.8828125,35055038.660000004,8852669.052734375,584722.2172851562,0,0,0
2023-10-16,2616408.5130615234,124873277.609375,23020710.8046875,34905306.195,8364911.142578125,5284540.125,1,0,0
2023-10-23,2891565.4154052734,121220769.3984375,24608168.3125,37706778.71,9097378.115234375,5039580.97265625,1,0,0
2023-10-30,2654815.8325195312,122673200.71875,22122633.6484375,35187321.674,8372563.9296875,5448654.31640625,1,0,0
2023-11-06,3233092.9822998047,128564875.359375,23588498.03125,34937009.72,8573372.62890625,11281299.358886719,1,1,0
2023-11-13,2783485.8459472656,122117272.7421875,21282074.75390625,36256313.996,8213936.861328125,5931305.6484375,1,0,0
2023-11-20,2189978.3713378906,125670644.515625,23676852.8359375,31614416.25,7949311.408203125,707017.7724609375,0,0,0
2023-11-27,2158453.7109375,126164900.1953125,22150052.953125,35154144.58,8223181.654296875,1069394.537109375,0,0,0
2023-12-04,2557489.360107422,50334513.203125,60523188.4609375,13519530.318,13597152.25,11713957.178466797,1,0,1
2023-12-11,2264724.2514648438,51858574.484375,64916777.02734375,12871131.657,14560487.998046875,4073576.58984375,0,1,0
2023-12-18,1762459.4169921875,52491371.46875,64299367.0390625,11252231.127,14219550.92578125,857074.236328125,0,0,0
2023-12-25,2038588.1782226562,51162191.734375,59690792.375,11276743.342,13314337.71875,4006732.7109375,0,1,0
2024-01-01,2467910.84375,51905008.671875,23635133.90625,38160835.89,8756795.83984375,5329524.97265625,1,0,0
2024-01-08,2415824.4873046875,50202851.984375,20784652.875,35402551.46,8066986.025390625,4883257.96875,0,1,0
2024-01-15,2790001.959716797,47249571.46875,23605606.7265625,34454903.17,8450846.033203125,11813507.725341797,0,1,1
2024-01-22,2113066.9779052734,52060546.421875,23087711.1875,33089384.613,8102713.9375,641132.8681640625,0,0,0
2024-01-29,2445780.1607666016,49553606.265625,23319812.08203125,33897655.079,8414202.82421875,5268711.05859375,0,1,0
2024-02-05,2186217.586791992,53729700.34375,25049847.92578125,37125829.22,9166685.833984375,952503.0556640625,0,0,0
2024-02-12,1945924.7283935547,48863006.4453125,25629139.203125,34365743.934,8956242.751953125,765311.2119140625,0,0,0
2024-02-19,2029843.4431152344,50103093.84375,21397522.328125,34249611.651,7863902.958984375,684785.2280273438,0,0,0
2024-02-26,1840820.470336914,48360075.8671875,25316827.71875,35431313.3,8899607.41015625,897738.64453125,0,0,0
2024-03-04,1915872.046508789,50127824.6015625,62739458.58984375,12048523.438000001,14024358.86328125,1105014.990234375,0,0,0
2024-03-11,2041814.348022461,52256045.140625,60394494.16015625,13081401.746,13549829.962890625,4617545.23828125,0,1,0
2024-03-18,2279780.9760742188,48660843.328125,60939918.78515625,13410969.188000001,13636429.408203125,5812584.71484375,1,0,0
2024-03-25,1957463.469116211,48773296.40625,59507295.65625,13117579.341,13281256.294921875,662231.6411132812,0,0,0
2024-04-01,2335525.1290283203,51288354.1328125,61069080.75,11884947.052,13667961.345703125,5593666.0078125,1,0,0
2024-04-08,2645262.8513183594,50001125.0703125,62563138.41015625,12340137.856,13942508.6953125,5719805.19140625,0,0,1
2024-04-15,2292840.207397461,50337490.4921875,60451183.62890625,12825222.472,13442042.546875,1000885.4912109375,0,0,0
2024-04-22,2052108.0343017578,48884489.09375,61490810.109375,12611556.989,13827340.529296875,1098528.0732421875,0,0,0
2024-04-29,2252610.2907714844,47772891.875,59279859.140625,13421154.448,13281178.076171875,4508114.8359375,0,1,0
2024-05-06,2776941.708984375,50271435.90625,62236732.20703125,13302929.407,13981367.03515625,5243910.50390625,0,0,1
2024-05-13,2717557.2755126953,51130527.7109375,66332540.16796875,13092405.667,14825694.341796875,6123220.3828125,0,0,1
2024-05-20,2847324.6932373047,49100650.953125,58488252.97265625,13195314.916,13209401.470703125,12670856.389160156,0,1,1
2024-05-27,2369962.073364258,49957281.9765625,61257896.171875,13821892.069,13778188.927734375,5910722.0859375,0,0,1
2024-06-03,2715918.10546875,52812674.53125,22771282.04296875,12879516.249,5842208.0068359375,12071225.975097656,0,1,1
2024-06-10,2422146.187866211,45448227.21875,24733475.3671875,11985026.052,6145197.69140625,6131477.4609375,0,0,1
2024-06-17,2015500.8420410156,49470057.421875,21973635.8828125,12217971.123,5616524.3037109375,1059961.9658203125,0,0,0
2024-06-24,2694183.4814453125,50672311.875,21871850.046875,13124317.465,5686801.794921875,6449966.96484375,0,0,1
2024-07-01,2084705.624633789,51174767.625,24107376.734375,12802506.723,6101725.982421875,601134.6489257812,0,0,0
2024-07-08,2130814.555053711,48836461.75,23131632.8828125,12475814.91,5873908.08203125,992678.5458984375,0,0,0
2024-07-15,2233271.5721435547,47103552.8125,23865999.8828125,13764400.928,6149640.0283203125,838946.689453125,0,0,0
2024-07-22,2635366.188232422,48573656.9921875,22166314.1875,11173088.561,5550571.72265625,4634722.93359375,0,1,0
2024-07-29,2315812.1259765625,51389930.640625,22719286.7734375,13011591.436999999,5845016.509765625,997908.1083984375,0,0,0
2024-08-05,2998504.266479492,51072627.953125,23263121.26171875,11953096.429,5847933.89453125,5416338.26953125,1,0,0
2024-08-12,2693209.669067383,51216055.25,22264353.6484375,13135687.39,5766439.427734375,5861132.015625,0,0,1
2024-08-19,2240560.1951904297,47920076.1953125,26009409.890625,11484170.87,6350299.0595703125,939402.66796875,0,0,0
2024-08-26,2000812.1564941406,49432538.1953125,24025309.05078125,10568790.602,5861940.84765625,730143.087890625,0,0,0
2024-09-02,3219521.698364258,127981201.421875,23326880.203125,36535355.495,8444235.19921875,11960810.881347656,1,0,1
2024-09-09,3022001.065673828,128346821.546875,24770035.5078125,36186153.28,8766297.619140625,10861407.874511719,1,1,0
2024-09-16,2471338.172973633,124956308.265625,21502600.703125,33273973.735,7959954.87109375,718657.83984375,0,0,0
2024-09-23,2565129.7978515625,130804972.4375,22592066.5078125,31771680.256,7917809.447265625,1057367.478515625,0,0,0
2024-09-30,3486491.547607422,125926585.6640625,24701847.26953125,37221214.0,8962258.076171875,11659547.999267578,1,1,0
2024-10-07,3689239.7760009766,121727487.1796875,21301973.00390625,33414399.7,7909487.681640625,11837011.155029297,1,0,1
2024-10-14,2974331.862182617,125069717.6796875,22294728.2265625,37632464.120000005,8532614.990234375,806592.041015625,0,0,0
2024-10-21,2897524.919921875,121862145.625,26370080.0,34561397.87,9006988.888671875,1155857.537109375,0,0,0
2024-10-28,3087639.699951172,128730460.828125,22715848.8515625,32419744.395,7876857.31640625,5231995.171875,1,0,0
2024-11-04,3849612.1842041016,128536419.8984375,23118489.390625,32585070.812,8256506.09765625,11875654.663330078,0,1,1
2024-11-11,2991994.2037353516,121095416.65625,19805178.0859375,38905599.5,8317472.73046875,1019252.9267578125,0,0,0
2024-11-18,3178783.524658203,128790826.5078125,21875158.421875,30898038.62,7542817.455078125,5890548.375,1,0,0
2024-11-25,3316891.4783935547,130487340.5078125,22981171.5390625,37034734.756,8592790.6328125,4571270.859375,0,1,0
2024-12-02,3105298.081665039,47192666.6875,60959730.015625,12664867.083,13686920.29296875,11997921.311279297,0,1,1
2024-12-09,3663844.688354492,53438549.21875,63838039.99609375,12513270.715,14271007.671875,12802014.685546875,1,1,1
2024-12-16,2788908.1147460938,49866110.109375,62012164.53125,13097901.053,13792992.373046875,5494389.15234375,1,0,0
2024-12-23,2559866.5549316406,53656552.84375,60526178.50390625,12485202.652,13484217.78125,1115690.3349609375,0,0,0
2024-12-30,2423204.6373291016,50618525.0625,59587067.97265625,13548165.422,13380207.677734375,948950.4990234375,0,0,0
2025-01-06,2999734.09765625,48671479.765625,23371770.0390625,34640070.45,8540737.736328125,4073086.4765625,0,1,0
2025-01-13,2584150.8979492188,52288586.203125,22094539.5078125,34477370.88,8120691.1171875,778063.7900390625,0,0,0
2025-01-20,3086186.296508789,52386320.265625,24341416.5234375,35907826.63,8891577.138671875,4536694.44140625,0,1,0
2025-01-27,2701411.8178710938,48704022.9453125,25169082.875,34851403.79,8798020.7890625,1011105.2021484375,0,0,0
2025-02-03,2614986.9903564453,50010510.625,23744107.828125,35354370.05,8487630.17578125,1194576.2314453125,0,0,0
2025-02-10,2609318.684326172,51951493.1640625,21917733.2890625,32300708.66,7981352.875,1054407.4716796875,0,0,0
2025-02-17,2555617.166748047,49669925.0,24425695.125,33614442.78,8620777.33984375,652545.931640625,0,0,0
2025-02-24,2790843.1614990234,48435094.0,22975218.2109375,35731155.62,8494797.681640625,5663302.9453125,1,0,0
2025-03-03,2430863.3461914062,49924640.8828125,60037930.2109375,10813347.483000001,13296488.015625,746785.6083984375,0,0,0
2025-03-10,2387283.5874023438,48686208.9765625,61313878.92578125,11558765.466,13733879.125,861378.3193359375,0,0,0
2025-03-17,2579538.8541259766,52866662.0625,56198016.6953125,11224269.117,12539129.4609375,979718.466796875,0,0,0
2025-03-24,2542191.9302978516,49052226.3515625,64588413.32421875,11847064.165,14361452.693359375,1305433.001953125,0,0,0
2025-03-31,2630098.764892578,52454850.21875,63725611.75,12890809.222,14250475.423828125,1513358.859375,0,0,0
2025-04-07,2767463.662841797,44665610.390625,66283103.2109375,14790545.457,14925999.12890625,1046247.75,0,0,0
2025-04-14,2669323.8768310547,48355034.0,56179947.05859375,12625669.587,12841916.4765625,898844.0712890625,0,0,0
2025-04-21,3126732.928588867,50074604.78125,65072483.421875,12731027.071,14488743.998046875,4864631.9765625,0,1,0
2025-04-28,2850815.2338867188,50920831.953125,58920057.81640625,13430018.089,13245051.21484375,1098671.3876953125,0,0,0
2025-05-05,3259272.1528320312,50385341.671875,60599482.77734375,12624543.963,13466951.029296875,6071018.16796875,0,0,1
2025-05-12,3278642.8344726562,51560432.09375,58338388.7890625,13769579.425999999,13243865.39453125,6293020.60546875,0,0,1
2025-05-19,3013249.995239258,50047752.2265625,66247635.79296875,13118062.572,14738698.041015625,5756162.6953125,0,0,1
2025-05-26,3081803.6287841797,53257864.1171875,63678545.8125,13036411.171,14228869.556640625,6716970.984375,0,0,1
2025-06-02,2808808.7744140625,50653861.859375,22893088.0625,12800878.282,5858705.41015625,6395129.40234375,0,0,1
2025-06-09,2512262.1220703125,50013257.40625,23746866.84375,11858283.344,5935201.728515625,1011700.1865234375,0,0,0
2025-06-16,2952484.753051758,51694354.296875,23221433.0390625,13778373.013,6022123.912109375,6040070.12109375,0,0,1
2025-06-23,3152566.865600586,51761377.03125,25907731.13671875,11118156.807,6293361.91015625,11495900.225830078,0,1,1
